Purchase Order #,Distribution Center ID,Distribution Center,Date Marked as Shipped,Amount Paid to Vendor,invoice number
7870788705476,620962,K And N Engineering Inc - Riverside CA,20220326,24.51,8081754-01
9870855500818,620962,K And N Engineering Inc - Riverside CA,20220326,3.56,8089370-01
8870828335399,620962,K And N Engineering Inc - Riverside CA,20220326,33.22,8085936-01
8870780046355,620962,K And N Engineering Inc - Riverside CA,20220326,2.89,8082237-01
9870855864483,620962,K And N Engineering Inc - Riverside CA,20220326,16.5,8089528-01
8870790988120,620962,K And N Engineering Inc - Riverside CA,20220326,6.24,8083360-01
8870803234220,620962,K And N Engineering Inc - Riverside CA,20220326,24.51,8083629-01
8870829720096,620962,K And N Engineering Inc - Riverside CA,20220326,5.41,8086630-01
8870829778455,620962,K And N Engineering Inc - Riverside CA,20220326,6.02,8086703-01
9870842525876,620962,K And N Engineering Inc - Riverside CA,20220326,289.52,8088116-01
8870829474716,620962,K And N Engineering Inc - Riverside CA,20220326,4.04,8086451-01
9870830164124,620962,K And N Engineering Inc - Riverside CA,20220326,2.46,8087068-01
8870791588164,620962,K And N Engineering Inc - Riverside CA,20220326,5.68,8082955-01
8870817142950,620962,K And N Engineering Inc - Riverside CA,20220326,4.41,8085276-01
9870830153675,620962,K And N Engineering Inc - Riverside CA,20220326,2.14,8086953-01
8870829623800,620962,K And N Engineering Inc - Riverside CA,20220326,10.3,8086651-01
8870815996466,620962,K And N Engineering Inc - Riverside CA,20220326,6.02,8084522-01
8870817739109,620962,K And N Engineering Inc - Riverside CA,20220326,5.01,8085665-01
9870831754020,620962,K And N Engineering Inc - Riverside CA,20220326,39.82,8087618-01
9870842497700,620962,K And N Engineering Inc - Riverside CA,20220326,20.1,8088090-01
9870844238240,620962,K And N Engineering Inc - Riverside CA,20220326,6.24,8088807-01
9870854906932,620962,K And N Engineering Inc - Riverside CA,20220326,32.73,8089187-01
8870791015734,620962,K And N Engineering Inc - Riverside CA,20220326,236.97,8082862-01
8870802995842,620962,K And N Engineering Inc - Riverside CA,20220326,27.23,8083594-01
8870815842921,620962,K And N Engineering Inc - Riverside CA,20220326,3.03,8084469-01
8870780546033,620962,K And N Engineering Inc - Riverside CA,20220326,6.24,8082555-01
8870805033207,620962,K And N Engineering Inc - Riverside CA,20220326,39.82,8084127-01
9870854711899,620962,K And N Engineering Inc - Riverside CA,20220326,6.95,8089161-01
8870791498776,620962,K And N Engineering Inc - Riverside CA,20220326,4.41,8082943-01
8870828223163,620962,K And N Engineering Inc - Riverside CA,20220326,33.7,8085907-01
8870829514591,620962,K And N Engineering Inc - Riverside CA,20220326,33.01,8086484-01
8870803058921,620962,K And N Engineering Inc - Riverside CA,20220326,6.51,8083596-01
7870765693452,620962,K And N Engineering Inc - Riverside CA,20220326,6.71,8080225-01
9870856393034,620962,K And N Engineering Inc - Riverside CA,20220326,3.97,8089850-01
8870815599898,620962,K And N Engineering Inc - Riverside CA,20220326,5.68,8084559-01
9870856374295,620962,K And N Engineering Inc - Riverside CA,20220326,3.16,8089774-01
9870856406752,620962,K And N Engineering Inc - Riverside CA,20220326,6.55,8089830-01
8870802357909,620962,K And N Engineering Inc - Riverside CA,20220326,4.41,8083578-01
8870792455170,620962,K And N Engineering Inc - Riverside CA,20220326,4,8083389-01
8870815816723,620962,K And N Engineering Inc - Riverside CA,20220326,6.12,8084455-01
8870815705183,620962,K And N Engineering Inc - Riverside CA,20220326,289.52,8084410-01
8870829791683,620962,K And N Engineering Inc - Riverside CA,20220326,5.68,8086785-01
9870843880310,620962,K And N Engineering Inc - Riverside CA,20220326,3.16,8088617-01
9870851762697,620962,K And N Engineering Inc - Riverside CA,20220326,6.02,8089166-01
9870854708552,620962,K And N Engineering Inc - Riverside CA,20220326,241.27,8089129-01
8870805433367,620962,K And N Engineering Inc - Riverside CA,20220326,7.65,8084280-01
9870831252465,620962,K And N Engineering Inc - Riverside CA,20220326,7.02,8087408-01
8870810932622,620962,K And N Engineering Inc - Riverside CA,20220326,33.7,8084763-01
8870829313353,620962,K And N Engineering Inc - Riverside CA,20220326,11.36,8086409-01
8870804441702,620962,K And N Engineering Inc - Riverside CA,20220326,7.02,8083888-01
9870830314966,620962,K And N Engineering Inc - Riverside CA,20220326,26.35,8087010-01
8870801561168,620962,K And N Engineering Inc - Riverside CA,20220326,26.45,8084156-01
9870842447811,620962,K And N Engineering Inc - Riverside CA,20220326,7.42,8088554-01
9870831062800,620962,K And N Engineering Inc - Riverside CA,20220326,6.24,8087349-01
8870805433368,620962,K And N Engineering Inc - Riverside CA,20220326,4.41,8084281-01
